Front;Back;Tags;Number;Topic;Key;AnswerText
Завдання 11. Синтаксис: дієприслівниковий зворот. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: В. В: маємо дотримати її усупереч різноманітним перешкодам;ukr_mova nmt2025 task_11;11;Синтаксис: дієприслівниковий зворот;В;В: маємо дотримати її усупереч різноманітним перешкодам
Завдання 12. Синтаксис: пряма й непряма мова. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: Д. Д: Юрій Макаров зазначив, що він не ідеалізує своїх співвітчизників, але не може не пишатися ними;ukr_mova nmt2025 task_12;12;Синтаксис: пряма й непряма мова;Д;Д: Юрій Макаров зазначив, що він не ідеалізує своїх співвітчизників, але не може не пишатися ними
Завдання 13. Пунктуація: розділові знаки. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: Б. Б: тире 2 — при узагальнювальному слові;ukr_mova nmt2025 task_13;13;Пунктуація: розділові знаки;Б;Б: тире 2 — при узагальнювальному слові
Завдання 14. Лексика: лексична норма. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: Г. Г: Люди отримали можливість подорожувати світом, здійснивши давню мрію завдяки технологіям віртуальної реальності;ukr_mova nmt2025 task_14;14;Лексика: лексична норма;Г;Г: Люди отримали можливість подорожувати світом, здійснивши давню мрію завдяки технологіям віртуальної реальності
Завдання 15. Лексика: іншомовні слова. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: Д. Д: дотиковий;ukr_mova nmt2025 task_15;15;Лексика: іншомовні слова;Д;Д: дотиковий
Завдання 16. Морфологія: форми слів і числівники. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: Д. Д: Завдяки, тисяча дев’ятсот дев’яносто шостого;ukr_mova nmt2025 task_16;16;Морфологія: форми слів і числівники;Д;Д: Завдяки, тисяча дев’ятсот дев’яносто шостого
Завдання 17. Морфологія: відмінювання імен. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: А. А: Девідом Девісом, Сергієм Комісаренком;ukr_mova nmt2025 task_17;17;Морфологія: відмінювання імен;А;А: Девідом Девісом, Сергієм Комісаренком
Завдання 18. Морфологія: керування, відмінки, ступені порівняння. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: В. В: за різними напрямами, озону, найтривалішими;ukr_mova nmt2025 task_18;18;Морфологія: керування, відмінки, ступені порівняння;В;В: за різними напрямами, озону, найтривалішими
Завдання 19. Морфологія: числівники та прийменникові конструкції. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: Г. Г: За даними експертів, двісті, тридцяти;ukr_mova nmt2025 task_19;19;Морфологія: числівники та прийменникові конструкції;Г;Г: За даними експертів, двісті, тридцяти
Завдання 20. Морфологія: словоформи. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: Д. Д: прилеглі, острови, межею;ukr_mova nmt2025 task_20;20;Морфологія: словоформи;Д;Д: прилеглі, острови, межею
Завдання 21. Текст: логічна послідовність. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: А. А: коло → трапеція → ромб → квадрат → трикутник;ukr_mova nmt2025 task_21;21;Текст: логічна послідовність;А;А: коло → трапеція → ромб → квадрат → трикутник
Завдання 22. Пунктуація в тексті. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: В. В: речення, позначене ромбом;ukr_mova nmt2025 task_22;22;Пунктуація в тексті;В;В: речення, позначене ромбом
Завдання 23. Синтаксис: однорідні члени. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: Б. Б: речення, позначене колом;ukr_mova nmt2025 task_23;23;Синтаксис: однорідні члени;Б;Б: речення, позначене колом
Завдання 24. Синтаксис: вставне слово. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: А. А: речення, позначене трикутником;ukr_mova nmt2025 task_24;24;Синтаксис: вставне слово;А;А: речення, позначене трикутником
Завдання 25. Морфологія: відмінок. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: Д. Д: відомості;ukr_mova nmt2025 task_25;25;Морфологія: відмінок;Д;Д: відомості
Завдання 26. Фразеологія. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: ВБАД. 1–В, 2–Б, 3–А, 4–Д;ukr_mova nmt2025 task_26;26;Фразеологія;ВБАД;1–В, 2–Б, 3–А, 4–Д
Завдання 27. Морфологія: частини мови. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: АБДВ. 1–А, 2–Б, 3–Д, 4–В;ukr_mova nmt2025 task_27;27;Морфологія: частини мови;АБДВ;1–А, 2–Б, 3–Д, 4–В
Завдання 28. Синтаксис: синтаксичне значення. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: ГБВД. 1–Г, 2–Б, 3–В, 4–Д;ukr_mova nmt2025 task_28;28;Синтаксис: синтаксичне значення;ГБВД;1–Г, 2–Б, 3–В, 4–Д
Завдання 29. Синтаксис: типи складних речень. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: ДАВГ. 1–Д, 2–А, 3–В, 4–Г;ukr_mova nmt2025 task_29;29;Синтаксис: типи складних речень;ДАВГ;1–Д, 2–А, 3–В, 4–Г
Завдання 30. Синтаксис: члени речення. Відкрийте зображення питання у HTML-картці.;Правильна відповідь: ДБАВ. 1–Д, 2–Б, 3–А, 4–В;ukr_mova nmt2025 task_30;30;Синтаксис: члени речення;ДБАВ;1–Д, 2–Б, 3–А, 4–В
